"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1562","get started link","webkit","Mon Jun 09 17:37:38 GMT 2025","passed","Mon Jun 09 17:37:40 GMT 2025","","example.spec.js","",""
"","333","get started link","chromium","Mon Jun 09 17:37:31 GMT 2025","passed","Mon Jun 09 17:37:31 GMT 2025","","example.spec.js","",""
"","797","get started link","firefox","Mon Jun 09 17:37:34 GMT 2025","passed","Mon Jun 09 17:37:35 GMT 2025","","example.spec.js","",""
"","1346","has title","firefox","Mon Jun 09 17:37:32 GMT 2025","passed","Mon Jun 09 17:37:33 GMT 2025","","example.spec.js","",""
"","333","has title","chromium","Mon Jun 09 17:37:30 GMT 2025","passed","Mon Jun 09 17:37:31 GMT 2025","","example.spec.js","",""
"","1746","has title","webkit","Mon Jun 09 17:37:36 GMT 2025","passed","Mon Jun 09 17:37:37 GMT 2025","","example.spec.js","",""
